Gebäude;Etage;Raum;Raumnummer;Fensternummer;Typ;Hersteller;Beschlag;Baujahr;Breite_mm;Höhe_mm;Glas;Lage;Status
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro 9;VGN-409;VGN-F-0145;Fest;Roto Frank;Roto NX;2011;960;1540;Ornamentglas;Nordwest;austausch_empfohlen
Verwaltungsgebäude Nord;3. Obergeschoss;Großraumbüro 9;VGN-409;VGN-F-0146;Dreh;Roto Frank;Roto NT;2017;1480;1230;Ornamentglas;Südost;abgeschlossen
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 10;VGN-410;VGN-F-0147;Dreh;Schüco;AvanTec;2019;1490;1320;2-fach VSG;Südost;saniert
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 10;VGN-410;VGN-F-0148;Kipp;GU-BKS;UNI-JET;2018;1110;1690;Ornamentglas;Südwest;in_bearbeitung
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 10;VGN-410;VGN-F-0149;Schiebe;Schüco;AvanTec;2007;1420;1250;3-fach WSG;Nord;abgeschlossen
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 10;VGN-410;VGN-F-0150;Oberlicht;Roto Frank;Roto NT;2013;790;420;ESG;Nordwest;mangel
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 10;VGN-410;VGN-F-0151;Fest;Siegenia-Aubi;Titan AF;2018;1370;1150;ESG;West;nicht_begonnen
Verwaltungsgebäude Nord;3. Obergeschoss;Konferenzraum 10;VGN-410;VGN-F-0152;Kipp;Maco;Multi-Matic;2004;890;2000;2-fach WSG;Nordwest;abgeschlossen
Verwaltungsgebäude Süd;Untergeschoss;Werkstatt 3;VGS-003;VGS-F-0153;Oberlicht;Winkhaus;activPilot;2008;650;390;ESG;Nordost;nicht_begonnen
Verwaltungsgebäude Süd;Untergeschoss;Werkstatt 3;VGS-003;VGS-F-0154;Oberlicht;Schüco;AvanTec;2008;1170;340;2-fach VSG;Ost;abgeschlossen
Verwaltungsgebäude Süd;Untergeschoss;Werkstatt 3;VGS-003;VGS-F-0155;Dreh;GU-BKS;UNI-JET;1996;1800;1280;Ornamentglas;West;abgeschlossen
Verwaltungsgebäude Süd;Untergeschoss;Werkstatt 3;VGS-003;VGS-F-0156;Oberlicht;Roto Frank;Roto NX;2002;760;350;ESG;Südost;saniert
Verwaltungsgebäude Süd;Untergeschoss;Technikraum 4;VGS-004;VGS-F-0157;Fest;Siegenia-Aubi;Titan AF;2010;1360;1770;Ornamentglas;Südost;nicht_begonnen
Verwaltungsgebäude Süd;Untergeschoss;Treppenhaus 5;VGS-005;VGS-F-0158;Fest;Maco;Multi-Matic;2009;2000;2070;2-fach VSG;Nordost;ausser_betrieb
Verwaltungsgebäude Süd;Untergeschoss;Lager 6;VGS-006;VGS-F-0159;Kipp;Roto Frank;Roto NX;2006;1670;1470;2-fach WSG;Südwest;abgeschlossen
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0160;Schiebe;Roto Frank;Roto NX;2007;1810;1240;2-fach WSG;West;nicht_begonnen
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0161;Fest;Roto Frank;Roto NT;2011;1710;2100;3-fach WSG;Südost;ausser_betrieb
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0162;Fest;Schüco;AvanTec;2011;1450;1820;ESG;Südwest;in_bearbeitung
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0163;Kipp;Maco;Multi-Matic;2004;1040;1640;2-fach WSG;Nord;saniert
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0164;Dreh-Kipp;Schüco;AvanTec;2012;1210;2150;2-fach WSG;Südost;in_bearbeitung
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0165;Schiebe;Maco;Multi-Matic;2003;1980;1930;ESG;Südost;austausch_empfohlen
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0166;Dreh-Kipp;Winkhaus;activPilot;2010;1970;2170;3-fach WSG;West;nachpruefung
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0167;Oberlicht;GU-BKS;UNI-JET;2002;1120;330;ESG;Süd;nicht_begonnen
Verwaltungsgebäude Süd;Erdgeschoss;Kantine;VGS-101;VGS-F-0168;Oberlicht;Winkhaus;activPilot;1998;1130;480;2-fach VSG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Süd;Erdgeschoss;Empfang 3;VGS-103;VGS-F-0169;Schiebe;Maco;Multi-Matic;2005;1300;1230;ESG;Nordwest;in_bearbeitung
Verwaltungsgebäude Süd;Erdgeschoss;Empfang 3;VGS-103;VGS-F-0170;Schiebe;Siegenia-Aubi;Titan AF;2012;1040;1750;Ornamentglas;Süd;mangel
Verwaltungsgebäude Süd;Erdgeschoss;Empfang 3;VGS-103;VGS-F-0171;Dreh-Kipp;GU-BKS;UNI-JET;1996;1320;2140;Ornamentglas;Nordwest;abgeschlossen
Verwaltungsgebäude Süd;Erdgeschoss;Empfang 3;VGS-103;VGS-F-0172;Fest;Roto Frank;Roto NX;2009;850;2010;Ornamentglas;Südwest;saniert
Verwaltungsgebäude Süd;Erdgeschoss;Empfang 3;VGS-103;VGS-F-0173;Schiebe;Winkhaus;activPilot;1999;1240;1700;2-fach VSG;Südwest;nicht_zugaenglich
Verwaltungsgebäude Süd;Erdgeschoss;Empfang 3;VGS-103;VGS-F-0174;Fest;Roto Frank;Roto NT;1999;1600;1500;2-fach WSG;Südwest;nicht_begonnen
Verwaltungsgebäude Süd;Erdgeschoss;Poststelle 4;VGS-104;VGS-F-0175;Kipp;Maco;Multi-Matic;2000;1480;1890;Ornamentglas;Südost;austausch_empfohlen
Verwaltungsgebäude Süd;Erdgeschoss;Büro (Doppel) 5;VGS-105;VGS-F-0176;Dreh-Kipp;GU-BKS;UNI-JET;2005;940;1590;Ornamentglas;West;nachpruefung
Verwaltungsgebäude Süd;Erdgeschoss;Büro (Doppel) 5;VGS-105;VGS-F-0177;Schiebe;Roto Frank;Roto NX;2007;1820;1170;2-fach WSG;Nordost;in_bearbeitung
Verwaltungsgebäude Süd;Erdgeschoss;Büro (Doppel) 5;VGS-105;VGS-F-0178;Fest;Winkhaus;activPilot;2004;920;2090;Ornamentglas;Südost;nicht_begonnen
Verwaltungsgebäude Süd;Erdgeschoss;Treppenhaus 6;VGS-106;VGS-F-0179;Schiebe;Roto Frank;Roto NT;2003;1670;1500;3-fach WSG;Nordost;abgeschlossen
Verwaltungsgebäude Süd;Erdgeschoss;Besprechungsraum 7;VGS-107;VGS-F-0180;Oberlicht;Roto Frank;Roto NT;2006;980;500;Ornamentglas;West;mangel
Verwaltungsgebäude Süd;Erdgeschoss;Besprechungsraum 7;VGS-107;VGS-F-0181;Schiebe;Maco;Multi-Matic;2013;1970;1040;Ornamentglas;Nordwest;ausser_betrieb
Verwaltungsgebäude Süd;Erdgeschoss;Besprechungsraum 7;VGS-107;VGS-F-0182;Dreh-Kipp;Winkhaus;activPilot;2001;1000;1940;ESG;Südwest;in_bearbeitung
Verwaltungsgebäude Süd;Erdgeschoss;Archiv 8;VGS-108;VGS-F-0183;Oberlicht;Siegenia-Aubi;Titan AF;2010;1010;440;2-fach WSG;West;saniert
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0184;Oberlicht;GU-BKS;UNI-JET;2004;1020;460;2-fach VSG;Nordwest;ausser_betrieb
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0185;Kipp;Roto Frank;Roto NX;2003;840;1070;ESG;Südwest;nicht_begonnen
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0186;Oberlicht;Maco;Multi-Matic;2002;730;400;Ornamentglas;Nordost;nicht_begonnen
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0187;Schiebe;Maco;Multi-Matic;2009;1220;1570;2-fach VSG;Nord;nachpruefung
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0188;Dreh;Schüco;AvanTec;1996;1980;2050;2-fach WSG;Nord;abgeschlossen
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0189;Schiebe;Roto Frank;Roto NX;1998;1610;2070;2-fach WSG;Südwest;saniert
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0190;Oberlicht;Roto Frank;Roto NT;1998;960;490;3-fach WSG;West;abgeschlossen
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0191;Dreh-Kipp;Roto Frank;Roto NX;2009;1400;1860;3-fach WSG;Südwest;saniert
Verwaltungsgebäude Süd;Erdgeschoss;Kantine 9;VGS-109;VGS-F-0192;Fest;GU-BKS;UNI-JET;2011;1610;1250;Ornamentglas;Südwest;saniert
Verwaltungsgebäude Süd;Erdgeschoss;Technikraum 10;VGS-110;VGS-F-0193;Kipp;Siegenia-Aubi;Titan AF;2007;1800;1910;Ornamentglas;Südost;saniert
Verwaltungsgebäude Süd;1. Obergeschoss;Treppenhaus;VGS-110;VGS-F-0194;Dreh;Maco;Multi-Matic;2012;1620;1650;2-fach VSG;Nord;saniert
Verwaltungsgebäude Süd;1. Obergeschoss;Flur 2;VGS-202;VGS-F-0195;Schiebe;GU-BKS;UNI-JET;2009;1630;1130;2-fach WSG;Südost;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Flur 2;VGS-202;VGS-F-0196;Kipp;GU-BKS;UNI-JET;2011;2000;1530;2-fach WSG;Nordwest;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0197;Schiebe;Roto Frank;Roto NT;2007;1130;1810;Ornamentglas;Nord;ausser_betrieb
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0198;Dreh;Maco;Multi-Matic;1997;840;1500;Ornamentglas;Nordost;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0199;Dreh;GU-BKS;UNI-JET;2012;1280;1480;2-fach WSG;Nord;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0200;Dreh;GU-BKS;UNI-JET;2004;1600;1360;2-fach WSG;Nordwest;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0201;Fest;Siegenia-Aubi;Titan AF;2012;1340;1770;2-fach WSG;Nordost;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0202;Dreh-Kipp;Roto Frank;Roto NT;2003;1960;1580;ESG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0203;Oberlicht;Roto Frank;Roto NT;2008;1000;430;2-fach WSG;Nordwest;austausch_empfohlen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0204;Oberlicht;Schüco;AvanTec;2002;710;490;2-fach VSG;Ost;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0205;Dreh;Siegenia-Aubi;Titan AF;2012;1180;1860;2-fach VSG;Südwest;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0206;Dreh;Roto Frank;Roto NT;2013;1230;1530;3-fach WSG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0207;Kipp;Roto Frank;Roto NX;2003;1560;1930;ESG;Süd;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 4;VGS-204;VGS-F-0208;Schiebe;Siegenia-Aubi;Titan AF;1998;1210;1910;2-fach WSG;Südost;mangel
Verwaltungsgebäude Süd;1. Obergeschoss;Werkstatt 6;VGS-206;VGS-F-0209;Oberlicht;Roto Frank;Roto NX;2006;1180;300;2-fach WSG;West;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Werkstatt 6;VGS-206;VGS-F-0210;Oberlicht;Maco;Multi-Matic;1998;800;500;2-fach WSG;West;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Konferenzraum 7;VGS-207;VGS-F-0211;Kipp;Winkhaus;activPilot;2003;1330;2160;2-fach VSG;Nordost;in_bearbeitung
Verwaltungsgebäude Süd;1. Obergeschoss;Konferenzraum 7;VGS-207;VGS-F-0212;Kipp;Roto Frank;Roto NX;2012;1520;1740;3-fach WSG;Südost;saniert
Verwaltungsgebäude Süd;1. Obergeschoss;Konferenzraum 7;VGS-207;VGS-F-0213;Dreh;Winkhaus;activPilot;2012;1840;1750;2-fach WSG;Ost;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Konferenzraum 7;VGS-207;VGS-F-0214;Fest;GU-BKS;UNI-JET;2002;1280;1170;2-fach VSG;Nordwest;mangel
Verwaltungsgebäude Süd;1. Obergeschoss;Besprechungsraum 8;VGS-208;VGS-F-0215;Oberlicht;Siegenia-Aubi;Titan AF;2002;620;360;2-fach WSG;Nordost;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Besprechungsraum 8;VGS-208;VGS-F-0216;Dreh-Kipp;GU-BKS;UNI-JET;2010;1780;1830;Ornamentglas;Süd;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Besprechungsraum 8;VGS-208;VGS-F-0217;Oberlicht;Roto Frank;Roto NX;1998;860;400;2-fach VSG;Süd;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Treppenhaus 9;VGS-209;VGS-F-0218;Fest;Maco;Multi-Matic;2012;1400;1390;3-fach WSG;Südost;in_bearbeitung
Verwaltungsgebäude Süd;1. Obergeschoss;Flur 10;VGS-210;VGS-F-0219;Oberlicht;GU-BKS;UNI-JET;2011;680;470;3-fach WSG;West;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 12;VGS-212;VGS-F-0220;Kipp;Siegenia-Aubi;Titan AF;2011;1650;1410;2-fach WSG;Süd;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 12;VGS-212;VGS-F-0221;Dreh;Winkhaus;activPilot;2003;1790;1150;2-fach WSG;Südost;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 12;VGS-212;VGS-F-0222;Oberlicht;Roto Frank;Roto NT;2006;750;490;3-fach WSG;Süd;nicht_zugaenglich
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 12;VGS-212;VGS-F-0223;Dreh-Kipp;Roto Frank;Roto NT;1998;1460;1590;Ornamentglas;Nordost;abgeschlossen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 12;VGS-212;VGS-F-0224;Fest;GU-BKS;UNI-JET;1998;1180;1260;2-fach WSG;West;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 12;VGS-212;VGS-F-0225;Dreh-Kipp;Siegenia-Aubi;Titan AF;2004;1040;2040;3-fach WSG;Südwest;nicht_begonnen
Verwaltungsgebäude Süd;1. Obergeschoss;Kantine 12;VGS-212;VGS-F-0226;Dreh-Kipp;GU-BKS;UNI-JET;2000;1930;2060;3-fach WSG;West;nicht_begonnen
Verwaltungsgebäude Süd;2. Obergeschoss;Büro (Einzel);VGS-301;VGS-F-0227;Schiebe;Siegenia-Aubi;Titan AF;1998;1960;1840;ESG;Ost;austausch_empfohlen
Verwaltungsgebäude Süd;2. Obergeschoss;Archiv 2;VGS-302;VGS-F-0228;Dreh;Siegenia-Aubi;Titan AF;1997;1030;1220;3-fach WSG;Südwest;saniert
Verwaltungsgebäude Süd;2. Obergeschoss;Treppenhaus 3;VGS-303;VGS-F-0229;Fest;Schüco;AvanTec;2007;1740;1010;2-fach WSG;Nord;nicht_zugaenglich
Verwaltungsgebäude Süd;2. Obergeschoss;Aufenthaltsraum 5;VGS-305;VGS-F-0230;Oberlicht;Schüco;AvanTec;1996;650;300;Ornamentglas;Südost;abgeschlossen
Verwaltungsgebäude Süd;2. Obergeschoss;Aufenthaltsraum 5;VGS-305;VGS-F-0231;Dreh-Kipp;Siegenia-Aubi;Titan AF;2011;1310;2010;2-fach VSG;Ost;nicht_begonnen
Verwaltungsgebäude Süd;2. Obergeschoss;Küche 6;VGS-306;VGS-F-0232;Oberlicht;Schüco;AvanTec;1997;830;320;3-fach WSG;Süd;in_bearbeitung
Verwaltungsgebäude Süd;2. Obergeschoss;Küche 6;VGS-306;VGS-F-0233;Kipp;Roto Frank;Roto NX;2008;1690;1640;2-fach VSG;Nordwest;ausser_betrieb
Verwaltungsgebäude Süd;2. Obergeschoss;Küche 6;VGS-306;VGS-F-0234;Dreh-Kipp;Schüco;AvanTec;2005;1280;1870;ESG;Nordwest;austausch_empfohlen
Verwaltungsgebäude Süd;2. Obergeschoss;Küche 6;VGS-306;VGS-F-0235;Dreh-Kipp;Roto Frank;Roto NX;2004;1080;1600;Ornamentglas;Ost;ausser_betrieb
Verwaltungsgebäude Süd;2. Obergeschoss;Büro (Doppel) 7;VGS-307;VGS-F-0236;Fest;Schüco;AvanTec;2007;1430;1270;3-fach WSG;Süd;nachpruefung
Verwaltungsgebäude Süd;2. Obergeschoss;Büro (Doppel) 7;VGS-307;VGS-F-0237;Dreh;GU-BKS;UNI-JET;1996;1140;1440;2-fach VSG;Ost;abgeschlossen
Verwaltungsgebäude Süd;2. Obergeschoss;Büro (Doppel) 7;VGS-307;VGS-F-0228;Schiebe;Siegenia-Aubi;Titan AF;2002;800;2050;2-fach VSG;Ost;mangel
Verwaltungsgebäude Süd;2. Obergeschoss;Großraumbüro 8;VGS-308;VGS-F-0239;Kipp;Roto Frank;Roto NT;1999;850;2100;3-fach WSG;Südost;austausch_empfohlen
Verwaltungsgebäude Süd;2. Obergeschoss;Großraumbüro 8;VGS-308;VGS-F-0240;Schiebe;Schüco;AvanTec;1997;1530;1040;2-fach WSG;Nordost;nachpruefung
Verwaltungsgebäude Süd;2. Obergeschoss;Großraumbüro 8;VGS-308;VGS-F-0241;Fest;Roto Frank;Roto NX;2002;880;1840;2-fach WSG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Süd;2. Obergeschoss;Großraumbüro 8;VGS-308;VGS-F-0235;Schiebe;GU-BKS;UNI-JET;1996;1530;1970;Ornamentglas;Südwest;austausch_empfohlen
Verwaltungsgebäude Süd;2. Obergeschoss;Großraumbüro 8;VGS-308;VGS-F-0243;Fest;Roto Frank;Roto NX;1998;1790;2030;2-fach WSG;Südwest;nachpruefung
Verwaltungsgebäude Süd;2. Obergeschoss;Großraumbüro 8;VGS-308;VGS-F-0244;Dreh;GU-BKS;UNI-JET;1996;1420;1540;Ornamentglas;Südost;nachpruefung
Verwaltungsgebäude Süd;2. Obergeschoss;Großraumbüro 8;VGS-308;VGS-F-0245;Kipp;Schüco;AvanTec;2006;1670;2060;2-fach WSG;Nordost;nicht_zugaenglich
Verwaltungsgebäude Süd;2. Obergeschoss;Büro (Einzel) 9;VGS-309;VGS-F-0246;Dreh;Maco;Multi-Matic;1998;1970;2040;Ornamentglas;Ost;nicht_begonnen
Verwaltungsgebäude Süd;2. Obergeschoss;Treppenhaus 11;VGS-311;VGS-F-0247;Fest;Schüco;AvanTec;2011;1580;1610;2-fach WSG;Südost;mangel
Konferenzzentrum;Erdgeschoss;Großraumbüro;KON-101;KON-F-0248;Dreh-Kipp;Maco;Multi-Matic;2024;1870;2040;ESG;Südwest;abgeschlossen
Konferenzzentrum;Erdgeschoss;Großraumbüro;KON-101;KON-F-0249;Schiebe;Roto Frank;Roto NT;2033;1160;1080;Ornamentglas;Ost;mangel
Konferenzzentrum;Erdgeschoss;Großraumbüro;KON-101;KON-F-0250;Fest;Roto Frank;Roto NT;2029;1970;1510;ESG;Ost;abgeschlossen
Konferenzzentrum;Erdgeschoss;Großraumbüro;KON-101;KON-F-0251;Schiebe;Siegenia-Aubi;Titan AF;2031;1510;1530;ESG;Süd;austausch_empfohlen
Konferenzzentrum;Erdgeschoss;Großraumbüro;KON-101;KON-F-0252;Dreh-Kipp;GU-BKS;UNI-JET;2019;1590;1950;3-fach WSG;Nordwest;ausser_betrieb
Konferenzzentrum;Erdgeschoss;Büro (Doppel) 2;KON-102;KON-F-0253;Schiebe;Roto Frank;Roto NX;2023;1890;1340;3-fach WSG;Nordwest;in_bearbeitung
Konferenzzentrum;Erdgeschoss;Büro (Doppel) 2;KON-102;KON-F-0254;Schiebe;Maco;Multi-Matic;2031;1530;1260;3-fach WSG;Südwest;mangel
Konferenzzentrum;Erdgeschoss;Büro (Doppel) 2;KON-102;KON-F-0255;Oberlicht;Roto Frank;Roto NX;2032;720;300;ESG;Nordwest;saniert
Konferenzzentrum;Erdgeschoss;Flur 3;KON-103;KON-F-0256;Oberlicht;Schüco;AvanTec;2023;1170;490;Ornamentglas;Nord;nicht_zugaenglich
Konferenzzentrum;Erdgeschoss;Flur 3;KON-103;KON-F-0257;Dreh;Winkhaus;activPilot;2016;990;1930;ESG;Nord;in_bearbeitung
Konferenzzentrum;Erdgeschoss;Büro (Einzel) 4;KON-104;KON-F-0258;Dreh-Kipp;GU-BKS;UNI-JET;2026;1870;1340;2-fach VSG;West;in_bearbeitung
Konferenzzentrum;Erdgeschoss;Büro (Einzel) 4;KON-104;KON-F-0259;Kipp;GU-BKS;UNI-JET;2018;1670;1680;Ornamentglas;Nord;austausch_empfohlen
Konferenzzentrum;Erdgeschoss;Besprechungsraum 5;KON-105;KON-F-0260;Kipp;Siegenia-Aubi;Titan AF;2031;1000;1270;3-fach WSG;West;austausch_empfohlen
Konferenzzentrum;Erdgeschoss;Besprechungsraum 5;KON-105;KON-F-0261;Fest;Roto Frank;Roto NX;2028;1600;1340;Ornamentglas;Südwest;in_bearbeitung
Konferenzzentrum;Erdgeschoss;Besprechungsraum 5;KON-105;KON-F-0262;Dreh;GU-BKS;UNI-JET;2020;1550;1220;Ornamentglas;Nord;nicht_begonnen
Konferenzzentrum;Erdgeschoss;Besprechungsraum 5;KON-105;KON-F-0263;Oberlicht;Siegenia-Aubi;Titan AF;2032;600;330;ESG;Nordost;nicht_begonnen
Konferenzzentrum;Erdgeschoss;Konferenzraum 6;KON-106;KON-F-0264;Kipp;Winkhaus;activPilot;2031;1640;1140;3-fach WSG;Ost;abgeschlossen
Konferenzzentrum;Erdgeschoss;Konferenzraum 6;KON-106;KON-F-0265;Schiebe;Siegenia-Aubi;Titan AF;2017;1900;1460;2-fach VSG;Nord;ausser_betrieb
Konferenzzentrum;Erdgeschoss;Konferenzraum 6;KON-106;KON-F-0266;Oberlicht;Winkhaus;activPilot;2020;600;380;2-fach WSG;Südost;saniert
Konferenzzentrum;Erdgeschoss;Konferenzraum 6;KON-106;KON-F-0267;Fest;Siegenia-Aubi;Titan AF;2021;1670;1580;3-fach WSG;Nordost;austausch_empfohlen
Konferenzzentrum;Erdgeschoss;Konferenzraum 6;KON-106;KON-F-0268;Schiebe;Maco;Multi-Matic;2020;1540;1670;ESG;Süd;saniert
Konferenzzentrum;Erdgeschoss;Großraumbüro 7;KON-107;KON-F-0269;Kipp;Roto Frank;Roto NT;2020;1150;1240;2-fach WSG;Nord;abgeschlossen
Konferenzzentrum;Erdgeschoss;Großraumbüro 7;KON-107;KON-F-0270;Fest;Siegenia-Aubi;Titan AF;2018;1430;1690;ESG;Nordost;mangel
Konferenzzentrum;Erdgeschoss;Großraumbüro 7;KON-107;KON-F-0271;Schiebe;Schüco;AvanTec;2020;1000;1450;Ornamentglas;West;nicht_begonnen
Konferenzzentrum;Erdgeschoss;Großraumbüro 7;KON-107;KON-F-0272;Schiebe;Schüco;AvanTec;2020;1980;1500;2-fach VSG;Südwest;abgeschlossen
Konferenzzentrum;Erdgeschoss;Großraumbüro 7;KON-107;KON-F-0273;Oberlicht;Maco;Multi-Matic;2027;790;490;Ornamentglas;Ost;nicht_begonnen
Konferenzzentrum;Erdgeschoss;Büro (Doppel) 8;KON-108;KON-F-0274;Fest;GU-BKS;UNI-JET;2016;1520;1650;2-fach WSG;Süd;abgeschlossen
Konferenzzentrum;Erdgeschoss;Büro (Doppel) 8;KON-108;KON-F-0275;Oberlicht;Siegenia-Aubi;Titan AF;2017;760;320;2-fach WSG;Nord;austausch_empfohlen
Konferenzzentrum;Erdgeschoss;Büro (Doppel) 8;KON-108;KON-F-0276;Kipp;Roto Frank;Roto NX;2017;1900;1820;2-fach VSG;Süd;nicht_begonnen
Konferenzzentrum;1. Obergeschoss;WC Damen;KON-201;KON-F-0277;Fest;Schüco;AvanTec;2020;810;1880;2-fach WSG;Nordwest;saniert
Konferenzzentrum;1. Obergeschoss;WC Damen;KON-201;KON-F-0278;Oberlicht;Maco;Multi-Matic;2031;910;400;2-fach VSG;Süd;austausch_empfohlen
Konferenzzentrum;1. Obergeschoss;Büro (Einzel) 2;KON-202;KON-F-0274;Dreh;Maco;Multi-Matic;2018;960;1480;ESG;West;in_bearbeitung
Konferenzzentrum;1. Obergeschoss;Büro (Einzel) 2;KON-202;KON-F-0280;Kipp;Siegenia-Aubi;Titan AF;2028;1210;1290;Ornamentglas;Nordwest;in_bearbeitung
Konferenzzentrum;1. Obergeschoss;Flur 3;KON-203;KON-F-0281;Kipp;Maco;Multi-Matic;2023;1990;1690;2-fach WSG;Nord;abgeschlossen
Konferenzzentrum;1. Obergeschoss;Büro (Doppel) 4;KON-204;KON-F-0282;Kipp;Roto Frank;Roto NX;2028;1290;1650;Ornamentglas;Nord;abgeschlossen
Konferenzzentrum;1. Obergeschoss;Büro (Doppel) 4;KON-204;KON-F-0283;Dreh-Kipp;Siegenia-Aubi;Titan AF;2020;870;2010;ESG;Nord;nicht_begonnen
Konferenzzentrum;1. Obergeschoss;Büro (Doppel) 4;KON-204;KON-F-0284;Dreh-Kipp;GU-BKS;UNI-JET;2019;1690;1410;2-fach WSG;Ost;in_bearbeitung
Konferenzzentrum;1. Obergeschoss;Großraumbüro 5;KON-205;KON-F-0285;Fest;Schüco;AvanTec;2021;1710;1540;2-fach WSG;Nordost;abgeschlossen
Konferenzzentrum;1. Obergeschoss;Großraumbüro 5;KON-205;KON-F-0286;Kipp;Winkhaus;activPilot;2022;1020;2000;Ornamentglas;West;nicht_begonnen
Konferenzzentrum;1. Obergeschoss;Großraumbüro 5;KON-205;KON-F-0287;Fest;Roto Frank;Roto NX;2029;1970;1920;2-fach WSG;Süd;ausser_betrieb
Konferenzzentrum;1. Obergeschoss;Großraumbüro 5;KON-205;KON-F-0288;Dreh;Schüco;AvanTec;2021;890;2060;2-fach VSG;Ost;nicht_zugaenglich
Konferenzzentrum;1. Obergeschoss;Großraumbüro 5;KON-205;KON-F-0289;Kipp;GU-BKS;UNI-JET;2025;1250;1960;3-fach WSG;Südost;austausch_empfohlen
Konferenzzentrum;1. Obergeschoss;Besprechungsraum 6;KON-206;KON-F-0290;Kipp;Siegenia-Aubi;Titan AF;2023;970;1290;ESG;Südost;austausch_empfohlen
Konferenzzentrum;1. Obergeschoss;Besprechungsraum 6;KON-206;KON-F-0291;Kipp;GU-BKS;UNI-JET;2030;840;1990;2-fach VSG;West;nicht_zugaenglich
Konferenzzentrum;1. Obergeschoss;Besprechungsraum 6;KON-206;KON-F-0292;Dreh-Kipp;Maco;Multi-Matic;2022;1480;1280;Ornamentglas;Ost;abgeschlossen
