Fensternummer;Gebäude;Etage;Raum;Raumnummer;Status;Hersteller;Beschlagsystem;Baujahr;Breite_mm;Höhe_mm;Mangel;Dringend;Fortschritt;Bewertung
F-0153;Verwaltungsgebäude Süd;Erdgeschoss;Flur;VGS-104;in Bearbeitung;GU (Gretsch-Unitas);Roto NT;1998;1676;1334;Nein;Nein;68%;
F-0154;Verwaltungsgebäude Süd;Erdgeschoss;Sanitär;VGS-105;nicht begonnen;Weru;GU UNI-JET;2000;1599;1421;Nein;Nein;0%;
F-0155;Verwaltungsgebäude Süd;Erdgeschoss;Sanitär;VGS-105;Pruefung abgeschlossen;Schüco;Schüco AvanTec;2020;1017;1768;Nein;Nein;100%;erheblicher Mangel
F-0156;Verwaltungsgebäude Süd;Erdgeschoss;Besprechungsraum;VGS-107;nicht zugaenglich;Maco;Maco Multi-Matic;2012;1423;959;Nein;Nein;0%;
F-0157;Verwaltungsgebäude Süd;Erdgeschoss;Sanitär;VGS-109;nicht begonnen;Weru;Winkhaus activPilot;1985;1738;890;Nein;Nein;0%;
F-0158;Verwaltungsgebäude Süd;Erdgeschoss;Lager;VGS-110;freigegeben;Weru;Roto NT;1995;2006;1357;Nein;Nein;100%;erheblicher Mangel
F-0159;Verwaltungsgebäude Süd;Erdgeschoss;Lager;VGS-110;in Bearbeitung;Winkhaus;Maco Multi-Matic;1990;2140;1457;Ja;Nein;21%;
F-0160;Verwaltungsgebäude Süd;Erdgeschoss;Druckerraum;VGS-111;nicht begonnen;GU (Gretsch-Unitas);GU UNI-JET;1985;982;885;Nein;Nein;0%;
F-0161;Verwaltungsgebäude Süd;Erdgeschoss;Druckerraum;VGS-111;freigegeben;GU (Gretsch-Unitas);Schüco AvanTec;1985;1573;1235;Nein;Nein;100%;ohne Beanstandung
F-0162;Verwaltungsgebäude Süd;Erdgeschoss;Druckerraum;VGS-111;freigegeben;GU (Gretsch-Unitas);Schüco AvanTec;2018;776;1969;Nein;Nein;100%;Gefahr im Verzug
F-0163;Verwaltungsgebäude Süd;1. Obergeschoss;Sanitär;VGS-201;nicht zugaenglich;GU (Gretsch-Unitas);Winkhaus activPilot;2015;940;859;Nein;Nein;0%;
F-0164;Verwaltungsgebäude Süd;1. Obergeschoss;Sanitär;VGS-201;Spezialpruefung erforderlich;Roto Frank;Winkhaus activPilot;1990;2374;1456;Ja;Nein;0%;
F-0165;Verwaltungsgebäude Süd;1. Obergeschoss;Sanitär;VGS-201;fachlich geprueft;Maco;Winkhaus activPilot;1985;1315;1309;Ja;Nein;100%;Gefahr im Verzug
F-0166;Verwaltungsgebäude Süd;1. Obergeschoss;Sanitär;VGS-201;in Bearbeitung;Maco;Winkhaus activPilot;2018;1076;1530;Ja;Ja;31%;
F-0167;Verwaltungsgebäude Süd;1. Obergeschoss;Poststelle;VGS-202;fachlich geprueft;Maco;GU UNI-JET;2015;963;2020;Nein;Nein;100%;Gefahr im Verzug
F-0168;Verwaltungsgebäude Süd;1. Obergeschoss;Poststelle;VGS-202;Spezialpruefung erforderlich;Winkhaus;Roto NX;2020;1038;2016;Nein;Nein;0%;
F-0169;Verwaltungsgebäude Süd;1. Obergeschoss;Poststelle;VGS-202;freigegeben;Weru;Maco Multi-Matic;1992;744;1682;Nein;Nein;100%;erheblicher Mangel
F-0170;Verwaltungsgebäude Süd;1. Obergeschoss;Poststelle;VGS-202;in Bearbeitung;Winkhaus;Maco Multi-Matic;2020;772;1730;Nein;Nein;36%;
F-0171;Verwaltungsgebäude Süd;1. Obergeschoss;Serverraum;VGS-203;Pruefung abgeschlossen;Winkhaus;Schüco AvanTec;2015;1852;1800;Nein;Nein;100%;geringfügiger Mangel
F-0172;Verwaltungsgebäude Süd;1. Obergeschoss;Empfang;VGS-204;nicht begonnen;Schüco;Maco Multi-Matic;1992;1251;1087;Nein;Nein;0%;
F-0173;Verwaltungsgebäude Süd;1. Obergeschoss;Empfang;VGS-204;freigegeben;Siegenia-Aubi;GU UNI-JET;2010;1521;2198;Nein;Nein;100%;
F-0174;Verwaltungsgebäude Süd;1. Obergeschoss;Empfang;VGS-204;Pruefung abgeschlossen;Siegenia-Aubi;Winkhaus activPilot;2018;2038;1036;Nein;Nein;100%;Austausch empfohlen
F-0175;Verwaltungsgebäude Süd;1. Obergeschoss;Empfang;VGS-204;freigegeben;Schüco;Schüco AvanTec;1992;2276;2145;Nein;Nein;100%;
F-0176;Verwaltungsgebäude Süd;1. Obergeschoss;Archiv;VGS-205;nicht begonnen;GU (Gretsch-Unitas);GU UNI-JET;1995;2113;2093;Nein;Nein;0%;
F-0177;Verwaltungsgebäude Süd;1. Obergeschoss;Sanitär;VGS-206;in Bearbeitung;Schüco;Winkhaus activPilot;2000;1602;1877;Nein;Nein;55%;
F-0178;Verwaltungsgebäude Süd;1. Obergeschoss;Druckerraum;VGS-207;freigegeben;Winkhaus;Winkhaus activPilot;1995;2284;1151;Nein;Nein;100%;Gefahr im Verzug
F-0179;Verwaltungsgebäude Süd;1. Obergeschoss;Lager;VGS-208;nicht zugaenglich;Roto Frank;Schüco AvanTec;1990;1033;1318;Nein;Nein;0%;
F-0180;Verwaltungsgebäude Süd;1. Obergeschoss;Lager;VGS-208;freigegeben;Winkhaus;Roto NT;2003;602;1589;Ja;Ja;100%;geringfügiger Mangel
F-0181;Verwaltungsgebäude Süd;1. Obergeschoss;Besprechungsraum;VGS-209;Spezialpruefung erforderlich;Siegenia-Aubi;Winkhaus activPilot;1990;1216;1510;Nein;Nein;0%;
F-0182;Verwaltungsgebäude Süd;1. Obergeschoss;Besprechungsraum;VGS-209;in Bearbeitung;Maco;Winkhaus activPilot;2003;845;1357;Nein;Nein;41%;
F-0183;Verwaltungsgebäude Süd;1. Obergeschoss;Lager;VGS-211;nicht begonnen;Schüco;Maco Multi-Matic;2000;2127;1580;Nein;Nein;0%;
F-0184;Verwaltungsgebäude Süd;1. Obergeschoss;Lager;VGS-211;nicht begonnen;Maco;Maco Multi-Matic;2012;1303;1582;Nein;Nein;0%;
F-0185;Verwaltungsgebäude Süd;1. Obergeschoss;Archiv;VGS-212;nicht begonnen;Roto Frank;Maco Multi-Matic;1985;1872;1487;Nein;Nein;0%;
F-0186;Verwaltungsgebäude Süd;1. Obergeschoss;Archiv;VGS-212;Spezialpruefung erforderlich;Schüco;Maco Multi-Matic;2015;1983;1862;Nein;Nein;0%;
F-0187;Verwaltungsgebäude Süd;2. Obergeschoss;Büro;VGS-301;freigegeben;GU (Gretsch-Unitas);Winkhaus activPilot;1992;1015;1365;Nein;Nein;100%;Gefahr im Verzug
F-0188;Verwaltungsgebäude Süd;2. Obergeschoss;Büro;VGS-301;Pruefung abgeschlossen;Winkhaus;Siegenia Titan AF;2003;2094;1471;Nein;Nein;100%;erheblicher Mangel
F-0189;Verwaltungsgebäude Süd;2. Obergeschoss;Teeküche;VGS-302;freigegeben;Roto Frank;Siegenia Titan AF;1990;1013;2044;Nein;Nein;100%;ohne Beanstandung
F-0190;Verwaltungsgebäude Süd;2. Obergeschoss;Teeküche;VGS-302;freigegeben;Schüco;Siegenia Titan AF;1990;2116;1510;Nein;Nein;100%;
F-0191;Verwaltungsgebäude Süd;2. Obergeschoss;Teeküche;VGS-302;nicht zugaenglich;Weru;Schüco AvanTec;2018;979;1805;Nein;Nein;0%;
F-0192;Verwaltungsgebäude Süd;2. Obergeschoss;Flur;VGS-303;nicht zugaenglich;Schüco;GU UNI-JET;1998;1576;1396;Nein;Nein;0%;
F-0193;Verwaltungsgebäude Süd;2. Obergeschoss;Flur;VGS-303;Spezialpruefung erforderlich;GU (Gretsch-Unitas);Roto NT;2018;1797;1326;Nein;Nein;0%;
F-0194;Verwaltungsgebäude Süd;2. Obergeschoss;Flur;VGS-303;in Bearbeitung;Weru;Roto NX;2015;1621;1135;Nein;Nein;73%;
F-0195;Verwaltungsgebäude Süd;2. Obergeschoss;Flur;VGS-303;freigegeben;Schüco;Roto NX;2000;1606;1903;Nein;Nein;100%;Austausch empfohlen
F-0196;Verwaltungsgebäude Süd;2. Obergeschoss;Flur;VGS-303;freigegeben;Roto Frank;Winkhaus activPilot;2015;2393;879;Ja;Nein;100%;Gefahr im Verzug
F-0197;Verwaltungsgebäude Süd;2. Obergeschoss;Flur;VGS-303;nicht zugaenglich;Maco;Maco Multi-Matic;1992;2313;2109;Nein;Nein;0%;
F-0198;Verwaltungsgebäude Süd;2. Obergeschoss;Serverraum;VGS-304;fachlich geprueft;Winkhaus;Siegenia Titan AF;1998;1598;1656;Ja;Nein;100%;geringfügiger Mangel
F-0199;Verwaltungsgebäude Süd;2. Obergeschoss;Archiv;VGS-305;Spezialpruefung erforderlich;Weru;Roto NX;2005;1540;1217;Nein;Nein;0%;
F-0200;Verwaltungsgebäude Süd;2. Obergeschoss;Archiv;VGS-305;nicht begonnen;GU (Gretsch-Unitas);Winkhaus activPilot;2008;2009;1206;Nein;Nein;0%;
F-0201;Verwaltungsgebäude Süd;2. Obergeschoss;Archiv;VGS-305;nicht zugaenglich;Weru;Roto NX;2012;1817;1253;Nein;Nein;0%;
F-0202;Verwaltungsgebäude Süd;2. Obergeschoss;Archiv;VGS-305;nicht begonnen;Siegenia-Aubi;GU UNI-JET;2010;1970;1263;Nein;Nein;0%;
F-0203;Verwaltungsgebäude Süd;2. Obergeschoss;Poststelle;VGS-306;freigegeben;Schüco;Maco Multi-Matic;2012;1195;866;Nein;Nein;100%;geringfügiger Mangel
F-0204;Verwaltungsgebäude Süd;2. Obergeschoss;Archiv;VGS-307;in Bearbeitung;Winkhaus;GU UNI-JET;1985;2038;1989;Nein;Nein;67%;
F-0205;Verwaltungsgebäude Süd;2. Obergeschoss;Bibliothek;VGS-308;freigegeben;Roto Frank;Roto NT;2010;2046;1535;Nein;Nein;100%;Austausch empfohlen
F-0206;Verwaltungsgebäude Süd;2. Obergeschoss;Bibliothek;VGS-308;nicht begonnen;GU (Gretsch-Unitas);Siegenia Titan AF;2010;1545;1543;Nein;Nein;0%;
F-0207;Verwaltungsgebäude Süd;2. Obergeschoss;Lager;VGS-309;nicht begonnen;Schüco;GU UNI-JET;2015;1288;864;Ja;Nein;0%;
F-0208;Verwaltungsgebäude Süd;2. Obergeschoss;Lager;VGS-309;nicht zugaenglich;Siegenia-Aubi;Roto NT;2008;890;2112;Nein;Nein;0%;
F-0209;Verwaltungsgebäude Süd;2. Obergeschoss;Lager;VGS-309;freigegeben;Roto Frank;GU UNI-JET;1990;1738;1614;Ja;Nein;100%;erheblicher Mangel
F-0210;Verwaltungsgebäude Süd;2. Obergeschoss;Lager;VGS-309;Pruefung abgeschlossen;Siegenia-Aubi;Siegenia Titan AF;2003;1695;1614;Ja;Nein;100%;Austausch empfohlen
F-0211;Verwaltungsgebäude Süd;2. Obergeschoss;Archiv;VGS-310;fachlich geprueft;Schüco;Schüco AvanTec;2010;1887;1451;Nein;Nein;100%;Gefahr im Verzug
F-0212;Verwaltungsgebäude Süd;2. Obergeschoss;Archiv;VGS-310;fachlich geprueft;Roto Frank;Roto NT;1992;1453;1717;Nein;Nein;100%;ohne Beanstandung
F-0213;Konferenzzentrum;Untergeschoss;Empfang;KON-001;in Bearbeitung;Siegenia-Aubi;Roto NT;1995;660;855;Nein;Nein;68%;
F-0214;Konferenzzentrum;Untergeschoss;Empfang;KON-001;Pruefung abgeschlossen;Maco;GU UNI-JET;2010;1987;1566;Nein;Nein;100%;Gefahr im Verzug
F-0215;Konferenzzentrum;Untergeschoss;Büro;KON-002;in Bearbeitung;Roto Frank;Roto NX;2008;2289;2180;Nein;Nein;53%;
F-0216;Konferenzzentrum;Untergeschoss;Büro;KON-002;nicht begonnen;Roto Frank;Roto NX;2018;859;996;Nein;Nein;0%;
F-0217;Konferenzzentrum;Untergeschoss;Büro;KON-002;fachlich geprueft;GU (Gretsch-Unitas);Siegenia Titan AF;1998;1196;1966;Nein;Nein;100%;ohne Beanstandung
F-0218;Konferenzzentrum;Untergeschoss;Büro;KON-002;fachlich geprueft;Weru;Winkhaus activPilot;2012;978;1054;Nein;Nein;100%;
F-0219;Konferenzzentrum;Untergeschoss;Archiv;KON-003;nicht begonnen;Siegenia-Aubi;Schüco AvanTec;2020;1322;1236;Nein;Nein;0%;
F-0220;Konferenzzentrum;Untergeschoss;Archiv;KON-003;Pruefung abgeschlossen;Roto Frank;Roto NX;2012;2031;1162;Nein;Nein;100%;ohne Beanstandung
F-0221;Konferenzzentrum;Untergeschoss;Archiv;KON-003;nicht zugaenglich;Siegenia-Aubi;Roto NT;1998;1023;1258;Nein;Nein;0%;
F-0222;Konferenzzentrum;Untergeschoss;Flur;KON-004;in Bearbeitung;Siegenia-Aubi;Schüco AvanTec;2008;2110;1138;Nein;Nein;54%;
F-0223;Konferenzzentrum;Untergeschoss;Flur;KON-004;Pruefung abgeschlossen;Siegenia-Aubi;Roto NX;2018;2054;2136;Ja;Nein;100%;Gefahr im Verzug
F-0224;Konferenzzentrum;Untergeschoss;Flur;KON-004;in Bearbeitung;Roto Frank;Roto NX;2015;2383;881;Ja;Nein;33%;
F-0225;Konferenzzentrum;Untergeschoss;Flur;KON-004;Spezialpruefung erforderlich;Maco;Winkhaus activPilot;1990;1103;2151;Nein;Nein;0%;
F-0226;Konferenzzentrum;Untergeschoss;Flur;KON-004;Spezialpruefung erforderlich;Winkhaus;Siegenia Titan AF;2010;1081;1658;Nein;Nein;0%;
F-0227;Konferenzzentrum;Untergeschoss;Flur;KON-004;freigegeben;Siegenia-Aubi;Roto NT;2005;2038;1266;Nein;Nein;100%;Gefahr im Verzug
F-0228;Konferenzzentrum;Untergeschoss;Flur;KON-004;freigegeben;Weru;Roto NT;2010;1119;1340;Nein;Nein;100%;geringfügiger Mangel
F-0229;Konferenzzentrum;Untergeschoss;Bibliothek;KON-005;Pruefung abgeschlossen;Weru;Winkhaus activPilot;2000;735;1748;Ja;Nein;100%;ohne Beanstandung
F-0230;Konferenzzentrum;Untergeschoss;Bibliothek;KON-005;nicht begonnen;Siegenia-Aubi;GU UNI-JET;2012;1785;1680;Nein;Nein;0%;
F-0231;Konferenzzentrum;Untergeschoss;Bibliothek;KON-005;nicht begonnen;Weru;Siegenia Titan AF;1990;784;1714;Nein;Nein;0%;
F-0232;Konferenzzentrum;Untergeschoss;Druckerraum;KON-006;Spezialpruefung erforderlich;GU (Gretsch-Unitas);Maco Multi-Matic;2003;623;980;Nein;Nein;0%;
F-0233;Konferenzzentrum;Untergeschoss;Druckerraum;KON-006;freigegeben;Weru;Siegenia Titan AF;2015;723;2053;Nein;Nein;100%;
F-0234;Konferenzzentrum;Erdgeschoss;Besprechungsraum;KON-101;nicht begonnen;Maco;Roto NT;2008;1027;1135;Nein;Nein;0%;
F-0235;Konferenzzentrum;Erdgeschoss;Besprechungsraum;KON-101;nicht begonnen;Schüco;Schüco AvanTec;1985;1483;1852;Nein;Nein;0%;
F-0236;Konferenzzentrum;Erdgeschoss;Flur;KON-102;Pruefung abgeschlossen;Siegenia-Aubi;Schüco AvanTec;1998;708;1645;Nein;Nein;100%;erheblicher Mangel
F-0237;Konferenzzentrum;Erdgeschoss;Flur;KON-102;nicht begonnen;Siegenia-Aubi;Roto NX;1985;2031;1822;Nein;Nein;0%;
F-0238;Konferenzzentrum;Erdgeschoss;Flur;KON-102;in Bearbeitung;Weru;Roto NX;1992;736;1145;Nein;Nein;26%;
F-0239;Konferenzzentrum;Erdgeschoss;Flur;KON-102;fachlich geprueft;Maco;Winkhaus activPilot;2005;2308;1697;Ja;Nein;100%;geringfügiger Mangel
F-0240;Konferenzzentrum;Erdgeschoss;Flur;KON-102;Spezialpruefung erforderlich;Winkhaus;GU UNI-JET;1990;913;1868;Nein;Nein;0%;
F-0241;Konferenzzentrum;Erdgeschoss;Flur;KON-103;freigegeben;GU (Gretsch-Unitas);GU UNI-JET;2008;1645;1031;Ja;Nein;100%;
F-0242;Konferenzzentrum;Erdgeschoss;Flur;KON-103;fachlich geprueft;Schüco;GU UNI-JET;2015;1286;802;Nein;Nein;100%;
F-0243;Konferenzzentrum;Erdgeschoss;Flur;KON-103;in Bearbeitung;Roto Frank;Roto NX;2010;1907;1243;Nein;Nein;25%;
F-0244;Konferenzzentrum;Erdgeschoss;Flur;KON-103;in Bearbeitung;Weru;Siegenia Titan AF;2008;1298;1076;Ja;Ja;71%;
F-0245;Konferenzzentrum;Erdgeschoss;Flur;KON-103;nicht begonnen;GU (Gretsch-Unitas);GU UNI-JET;2005;885;1112;Nein;Nein;0%;
F-0246;Konferenzzentrum;Erdgeschoss;Flur;KON-103;nicht zugaenglich;Maco;Maco Multi-Matic;2020;884;1110;Ja;Nein;0%;
F-0247;Konferenzzentrum;Erdgeschoss;Flur;KON-103;freigegeben;Maco;Siegenia Titan AF;2012;1839;1934;Nein;Nein;100%;geringfügiger Mangel
F-0248;Konferenzzentrum;Erdgeschoss;Flur;KON-103;in Bearbeitung;Maco;Roto NT;2008;2264;968;Nein;Nein;69%;
F-0249;Konferenzzentrum;Erdgeschoss;Lager;KON-104;Spezialpruefung erforderlich;Schüco;GU UNI-JET;1998;1898;1006;Nein;Nein;0%;
F-0250;Konferenzzentrum;Erdgeschoss;Lager;KON-104;in Bearbeitung;Winkhaus;Winkhaus activPilot;2015;1134;1599;Nein;Nein;32%;
F-0251;Konferenzzentrum;Erdgeschoss;Lager;KON-104;fachlich geprueft;GU (Gretsch-Unitas);Schüco AvanTec;2020;703;1683;Nein;Nein;100%;Gefahr im Verzug
F-0252;Konferenzzentrum;Erdgeschoss;Archiv;KON-105;nicht begonnen;Roto Frank;Maco Multi-Matic;2003;2313;888;Ja;Ja;0%;
F-0253;Konferenzzentrum;Erdgeschoss;Archiv;KON-105;Spezialpruefung erforderlich;Schüco;Maco Multi-Matic;1985;1492;1130;Nein;Nein;0%;
F-0254;Konferenzzentrum;Erdgeschoss;Archiv;KON-105;in Bearbeitung;Maco;Winkhaus activPilot;2010;1841;2189;Nein;Nein;70%;
F-0255;Konferenzzentrum;Erdgeschoss;Archiv;KON-105;nicht zugaenglich;Roto Frank;Maco Multi-Matic;2000;2172;862;Nein;Nein;0%;
F-0256;Konferenzzentrum;Erdgeschoss;Teeküche;KON-106;freigegeben;GU (Gretsch-Unitas);Roto NT;2003;689;1504;Ja;Ja;100%;Gefahr im Verzug
F-0257;Konferenzzentrum;Erdgeschoss;Teeküche;KON-106;fachlich geprueft;GU (Gretsch-Unitas);Winkhaus activPilot;2000;1306;1445;Nein;Nein;100%;ohne Beanstandung
F-0258;Konferenzzentrum;Erdgeschoss;Teeküche;KON-106;fachlich geprueft;Roto Frank;Roto NX;2020;851;1052;Nein;Nein;100%;
F-0259;Konferenzzentrum;Erdgeschoss;Besprechungsraum;KON-107;freigegeben;Schüco;Roto NT;2000;1765;1998;Nein;Nein;100%;
F-0260;Konferenzzentrum;Erdgeschoss;Besprechungsraum;KON-107;nicht begonnen;Roto Frank;Winkhaus activPilot;2015;1985;1751;Nein;Nein;0%;
F-0261;Konferenzzentrum;Erdgeschoss;Besprechungsraum;KON-107;fachlich geprueft;GU (Gretsch-Unitas);Winkhaus activPilot;2010;1950;1913;Nein;Nein;100%;erheblicher Mangel
F-0262;Konferenzzentrum;Erdgeschoss;Besprechungsraum;KON-108;freigegeben;Winkhaus;GU UNI-JET;2003;993;1473;Ja;Ja;100%;ohne Beanstandung
F-0263;Konferenzzentrum;Erdgeschoss;Besprechungsraum;KON-108;freigegeben;GU (Gretsch-Unitas);Schüco AvanTec;2020;1467;1487;Nein;Nein;100%;geringfügiger Mangel
F-0264;Konferenzzentrum;Erdgeschoss;Besprechungsraum;KON-108;freigegeben;Weru;Maco Multi-Matic;2008;1568;1843;Nein;Nein;100%;ohne Beanstandung
F-0265;Konferenzzentrum;Erdgeschoss;Empfang;KON-109;fachlich geprueft;Maco;Maco Multi-Matic;2008;2348;1615;Nein;Nein;100%;geringfügiger Mangel
F-0266;Konferenzzentrum;Erdgeschoss;Empfang;KON-109;nicht begonnen;Winkhaus;GU UNI-JET;1998;1830;1519;Nein;Nein;0%;
F-0267;Konferenzzentrum;Erdgeschoss;Poststelle;KON-110;Spezialpruefung erforderlich;Schüco;Roto NX;2008;786;2044;Nein;Nein;0%;
F-0268;Konferenzzentrum;Erdgeschoss;Empfang;KON-111;Pruefung abgeschlossen;Winkhaus;Siegenia Titan AF;2003;935;1163;Nein;Nein;100%;erheblicher Mangel
F-0269;Konferenzzentrum;Erdgeschoss;Teeküche;KON-112;freigegeben;Roto Frank;Schüco AvanTec;2012;773;1013;Nein;Nein;100%;Austausch empfohlen
F-0270;Konferenzzentrum;1. Obergeschoss;Sanitär;KON-201;in Bearbeitung;Winkhaus;Roto NT;2000;2390;811;Nein;Nein;20%;
F-0271;Konferenzzentrum;1. Obergeschoss;Sanitär;KON-201;freigegeben;Siegenia-Aubi;Maco Multi-Matic;1998;1315;1241;Nein;Nein;100%;ohne Beanstandung
F-0272;Konferenzzentrum;1. Obergeschoss;Sanitär;KON-201;nicht zugaenglich;Schüco;Roto NT;1995;2167;1287;Nein;Nein;0%;
F-0273;Konferenzzentrum;1. Obergeschoss;Flur;KON-202;freigegeben;Schüco;Schüco AvanTec;1995;2151;1293;Nein;Nein;100%;
F-0274;Konferenzzentrum;1. Obergeschoss;Flur;KON-202;fachlich geprueft;Winkhaus;Schüco AvanTec;2018;2013;1383;Nein;Nein;100%;
F-0275;Konferenzzentrum;1. Obergeschoss;Flur;KON-202;Pruefung abgeschlossen;Siegenia-Aubi;Siegenia Titan AF;2020;1528;921;Nein;Nein;100%;ohne Beanstandung
F-0276;Konferenzzentrum;1. Obergeschoss;Flur;KON-202;fachlich geprueft;Roto Frank;Roto NX;1985;1095;1332;Nein;Nein;100%;geringfügiger Mangel
F-0277;Konferenzzentrum;1. Obergeschoss;Flur;KON-202;nicht begonnen;GU (Gretsch-Unitas);Roto NT;2005;898;1112;Nein;Nein;0%;
F-0278;Konferenzzentrum;1. Obergeschoss;Flur;KON-202;in Bearbeitung;Winkhaus;Winkhaus activPilot;2003;2325;1099;Nein;Nein;66%;
F-0279;Konferenzzentrum;1. Obergeschoss;Empfang;KON-203;nicht zugaenglich;Roto Frank;Siegenia Titan AF;2015;872;1202;Nein;Nein;0%;
F-0280;Konferenzzentrum;1. Obergeschoss;Empfang;KON-203;Pruefung abgeschlossen;Roto Frank;GU UNI-JET;2018;963;1915;Nein;Nein;100%;Gefahr im Verzug
F-0281;Konferenzzentrum;1. Obergeschoss;Empfang;KON-203;Spezialpruefung erforderlich;Winkhaus;Schüco AvanTec;1998;1824;1279;Nein;Nein;0%;
F-0282;Konferenzzentrum;1. Obergeschoss;Empfang;KON-203;fachlich geprueft;GU (Gretsch-Unitas);Roto NT;2000;2376;1356;Nein;Nein;100%;ohne Beanstandung
F-0283;Konferenzzentrum;1. Obergeschoss;Flur;KON-204;Pruefung abgeschlossen;Siegenia-Aubi;Siegenia Titan AF;2003;2244;1365;Nein;Nein;100%;geringfügiger Mangel
F-0284;Konferenzzentrum;1. Obergeschoss;Flur;KON-204;fachlich geprueft;Weru;Maco Multi-Matic;1998;2172;1854;Nein;Nein;100%;erheblicher Mangel
F-0285;Konferenzzentrum;1. Obergeschoss;Flur;KON-204;in Bearbeitung;Siegenia-Aubi;Maco Multi-Matic;1992;947;2082;Nein;Nein;41%;
F-0286;Konferenzzentrum;1. Obergeschoss;Flur;KON-204;in Bearbeitung;Schüco;Schüco AvanTec;2020;704;1878;Nein;Nein;27%;
F-0287;Konferenzzentrum;1. Obergeschoss;Flur;KON-204;fachlich geprueft;GU (Gretsch-Unitas);Siegenia Titan AF;1992;1193;1490;Nein;Nein;100%;geringfügiger Mangel
F-0288;Konferenzzentrum;1. Obergeschoss;Flur;KON-204;fachlich geprueft;GU (Gretsch-Unitas);GU UNI-JET;2020;1584;1174;Nein;Nein;100%;Austausch empfohlen
F-0289;Konferenzzentrum;1. Obergeschoss;Archiv;KON-205;nicht zugaenglich;Winkhaus;Maco Multi-Matic;2012;1856;1537;Nein;Nein;0%;
F-0290;Konferenzzentrum;1. Obergeschoss;Archiv;KON-205;fachlich geprueft;Roto Frank;Maco Multi-Matic;2020;1992;1186;Nein;Nein;100%;geringfügiger Mangel
F-0291;Konferenzzentrum;1. Obergeschoss;Archiv;KON-205;nicht begonnen;Weru;Roto NX;2012;1106;1061;Nein;Nein;0%;
F-0292;Konferenzzentrum;1. Obergeschoss;Archiv;KON-205;nicht zugaenglich;Schüco;Roto NX;2000;2290;2058;Nein;Nein;0%;
F-0293;Konferenzzentrum;1. Obergeschoss;Flur;KON-206;Spezialpruefung erforderlich;Schüco;Roto NT;2010;2332;1016;Nein;Nein;0%;
F-0294;Konferenzzentrum;1. Obergeschoss;Flur;KON-206;fachlich geprueft;Roto Frank;Winkhaus activPilot;2008;1850;1607;Nein;Nein;100%;geringfügiger Mangel
F-0295;Konferenzzentrum;1. Obergeschoss;Flur;KON-206;in Bearbeitung;Schüco;Winkhaus activPilot;1990;1412;834;Nein;Nein;32%;
F-0296;Konferenzzentrum;1. Obergeschoss;Flur;KON-206;nicht begonnen;Winkhaus;Schüco AvanTec;1998;1641;1541;Nein;Nein;0%;
F-0297;Konferenzzentrum;1. Obergeschoss;Flur;KON-206;nicht begonnen;Weru;Siegenia Titan AF;1985;2009;1957;Nein;Nein;0%;
F-0298;Konferenzzentrum;1. Obergeschoss;Flur;KON-206;nicht zugaenglich;Maco;GU UNI-JET;1998;1011;1149;Nein;Nein;0%;
F-0299;Konferenzzentrum;1. Obergeschoss;Sanitär;KON-207;Spezialpruefung erforderlich;Winkhaus;Winkhaus activPilot;2010;1653;1410;Nein;Nein;0%;
F-0300;Konferenzzentrum;1. Obergeschoss;Flur;KON-208;Spezialpruefung erforderlich;Maco;Maco Multi-Matic;2018;1312;1483;Nein;Nein;0%;
F-0301;Konferenzzentrum;1. Obergeschoss;Flur;KON-208;in Bearbeitung;Weru;Siegenia Titan AF;2003;1293;1551;Nein;Nein;36%;
F-0302;Konferenzzentrum;1. Obergeschoss;Flur;KON-208;Spezialpruefung erforderlich;Maco;Schüco AvanTec;2008;605;1759;Nein;Nein;0%;
F-0303;Konferenzzentrum;1. Obergeschoss;Flur;KON-208;Spezialpruefung erforderlich;Weru;Siegenia Titan AF;1992;1388;1949;Nein;Nein;0%;
F-0304;Konferenzzentrum;1. Obergeschoss;Archiv;KON-209;fachlich geprueft;Siegenia-Aubi;Winkhaus activPilot;2010;1525;2060;Nein;Nein;100%;
F-0305;Konferenzzentrum;1. Obergeschoss;Teeküche;KON-210;nicht begonnen;GU (Gretsch-Unitas);Schüco AvanTec;1992;1167;965;Nein;Nein;0%;
F-0306;Konferenzzentrum;1. Obergeschoss;Teeküche;KON-210;Pruefung abgeschlossen;Roto Frank;Maco Multi-Matic;1985;1579;1524;Nein;Nein;100%;
F-0307;Konferenzzentrum;1. Obergeschoss;Teeküche;KON-210;fachlich geprueft;Weru;Winkhaus activPilot;2005;1292;1326;Nein;Nein;100%;Austausch empfohlen
F-0308;Konferenzzentrum;1. Obergeschoss;Serverraum;KON-211;nicht begonnen;Siegenia-Aubi;Maco Multi-Matic;2020;791;1223;Nein;Nein;0%;
F-0309;Konferenzzentrum;1. Obergeschoss;Serverraum;KON-212;fachlich geprueft;Schüco;Maco Multi-Matic;2005;1040;2115;Nein;Nein;100%;ohne Beanstandung
F-0310;Technisches Zentrum;Untergeschoss;Bibliothek;TZ-001;Spezialpruefung erforderlich;Winkhaus;Roto NT;1998;1691;1817;Nein;Nein;0%;
F-0311;Technisches Zentrum;Untergeschoss;Bibliothek;TZ-001;Spezialpruefung erforderlich;Winkhaus;Roto NX;2000;2117;855;Nein;Nein;0%;
